tc_id,description,raw_mode,content_type,restaurantName,ownerName,email,password,address,phoneNumber,planType,expected_status,expect_guid,expected_error_contains,run_login_check,expected_login_ok,expected_login_fail
ITC_5.27,Plan Free valid,NORMAL,application/json,<AUTO_RESTAURANT>,<AUTO_OWNER>,<AUTO_EMAIL>,<VALID_PASSWORD>,"123 Test Street, Ho Chi Minh City",0901234567,Free,200,TRUE,,FALSE,200,400|401
ITC_5.28,Plan Premium valid,NORMAL,application/json,<AUTO_RESTAURANT>,<AUTO_OWNER>,<AUTO_EMAIL>,<VALID_PASSWORD>,"123 Test Street, Ho Chi Minh City",0901234567,Premium,200,TRUE,,FALSE,200,400|401
ITC_5.29,Plan Enterprise valid,NORMAL,application/json,<AUTO_RESTAURANT>,<AUTO_OWNER>,<AUTO_EMAIL>,<VALID_PASSWORD>,"123 Test Street, Ho Chi Minh City",0901234567,Enterprise,200,TRUE,,FALSE,200,400|401
ITC_5.30,Missing restaurantName,NORMAL,application/json,<MISSING>,<AUTO_OWNER>,<AUTO_EMAIL>,<VALID_PASSWORD>,"123 Test Street, Ho Chi Minh City",0901234567,Free,400,FALSE,restaurant,FALSE,200,400|401
ITC_5.31,Missing ownerName,NORMAL,application/json,<AUTO_RESTAURANT>,<MISSING>,<AUTO_EMAIL>,<VALID_PASSWORD>,"123 Test Street, Ho Chi Minh City",0901234567,Free,400,FALSE,owner,FALSE,200,400|401
ITC_5.32,Missing address,NORMAL,application/json,<AUTO_RESTAURANT>,<AUTO_OWNER>,<AUTO_EMAIL>,<VALID_PASSWORD>,<MISSING>,0901234567,Free,400,FALSE,address,FALSE,200,400|401
ITC_5.33,Missing phoneNumber,NORMAL,application/json,<AUTO_RESTAURANT>,<AUTO_OWNER>,<AUTO_EMAIL>,<VALID_PASSWORD>,"123 Test Street, Ho Chi Minh City",<MISSING>,Free,400,FALSE,phone,FALSE,200,400|401
ITC_5.34,Missing email,NORMAL,application/json,<AUTO_RESTAURANT>,<AUTO_OWNER>,<MISSING>,<VALID_PASSWORD>,"123 Test Street, Ho Chi Minh City",0901234567,Free,400,FALSE,email,FALSE,200,400|401
ITC_5.35,Missing password,NORMAL,application/json,<AUTO_RESTAURANT>,<AUTO_OWNER>,<AUTO_EMAIL>,<MISSING>,"123 Test Street, Ho Chi Minh City",0901234567,Free,400,FALSE,password,FALSE,200,400|401
ITC_5.36,Invalid email format,NORMAL,application/json,<AUTO_RESTAURANT>,<AUTO_OWNER>,invalid-email-format,<VALID_PASSWORD>,"123 Test Street, Ho Chi Minh City",0901234567,Free,400,FALSE,email,FALSE,200,400|401
