tc_id,description,action,full_name,phone_number,auth_token,email,current_password,new_password,confirm_password,expected_status,expected_error_code,expected_fields,max_response_time_ms
ITC_11.15,Get profile default,GET_PROFILE,,,<ADMIN_TARGET_TOKEN>,,,,,200,Id|FullName|Email|PhoneNumber|Roles,,
ITC_11.16,Update profile valid,UPDATE_PROFILE,Admin Updated,0909000111,<ADMIN_TARGET_TOKEN>,,,,,200,,,
ITC_11.17,Update profile phone empty,UPDATE_PROFILE,Admin Updated 2,<EMPTY>,<ADMIN_TARGET_TOKEN>,,,,,200,,,
ITC_11.18,Update profile full name empty,UPDATE_PROFILE,<EMPTY>,0909000222,<ADMIN_TARGET_TOKEN>,,,,,400,User.InvalidFullName,,
ITC_11.19,Update profile missing token,UPDATE_PROFILE,Admin Updated 3,0909000333,<MISSING>,,,,,401,,,
ITC_11.20,Update profile invalid token,UPDATE_PROFILE,Admin Updated 4,0909000444,<INVALID_TOKEN>,,,,,401,,,
ITC_11.21,Get profile missing token,GET_PROFILE,,,<MISSING>,,,,,401,,,
ITC_11.22,Get profile invalid token,GET_PROFILE,,,<INVALID_TOKEN>,,,,,401,,,
ITC_11.23,Change password valid,CHANGE_PASSWORD,,,<ADMIN_TARGET_TOKEN>,,<ADMIN_TARGET_PASSWORD>,<ADMIN_TARGET_NEW_PASSWORD>,<ADMIN_TARGET_NEW_PASSWORD>,200,,,
ITC_11.24,Login with old password after change,LOGIN_OLD,,,,<ADMIN_TARGET_EMAIL>,<ADMIN_TARGET_PASSWORD>,,,401,Auth.InvalidPassword,,
ITC_11.25,Login with new password after change,LOGIN_NEW,,,,<ADMIN_TARGET_EMAIL>,<ADMIN_TARGET_NEW_PASSWORD>,,,200,,,
ITC_11.26,Change password wrong current,CHANGE_PASSWORD,,,<ADMIN_TARGET_TOKEN>,,WrongPass123!,<ADMIN_TARGET_NEW_PASSWORD_2>,<ADMIN_TARGET_NEW_PASSWORD_2>,400,Auth.InvalidPassword,,
ITC_11.27,Change password mismatch confirm,CHANGE_PASSWORD,,,<ADMIN_TARGET_TOKEN>,,<ADMIN_TARGET_NEW_PASSWORD>,<ADMIN_TARGET_NEW_PASSWORD_2>,Mismatch123!,400,User.PasswordMismatch,,
ITC_11.28,Change password too short,CHANGE_PASSWORD,,,<ADMIN_TARGET_TOKEN>,,<ADMIN_TARGET_NEW_PASSWORD>,123,123,400,User.PasswordInvalid,,
ITC_11.29,Change password missing body,CHANGE_PASSWORD,,,<ADMIN_TARGET_TOKEN>,,<ADMIN_TARGET_NEW_PASSWORD>,<MISSING>,,400,User.InvalidRequest,,
ITC_11.30,Change password missing token,CHANGE_PASSWORD,,,<MISSING>,,<ADMIN_TARGET_NEW_PASSWORD>,<ADMIN_TARGET_NEW_PASSWORD_2>,<ADMIN_TARGET_NEW_PASSWORD_2>,401,,,
ITC_11.31,Change password invalid token,CHANGE_PASSWORD,,,<INVALID_TOKEN>,,<ADMIN_TARGET_NEW_PASSWORD>,<ADMIN_TARGET_NEW_PASSWORD_2>,<ADMIN_TARGET_NEW_PASSWORD_2>,401,,,
ITC_11.32,Profile response time,GET_PROFILE,,,<ADMIN_TARGET_TOKEN>,,,,200,,Id|FullName|Email|PhoneNumber|Roles,,1500
